Link number,URL,Actual Title,Actual Description
1,https://point.md/,Point.md: Новости Молдовы,"Последние новости Молдовы, политические и общественные события, спортивные обозрения и прочие события страны."
2,https://point.md/ru/,Point.md: Новости Молдовы,"Последние новости Молдовы, политические и общественные события, спортивные обозрения и прочие события страны."
3,https://point.md/ru/curs/,Курс валют - Point.md,"Курс валют от 16 банков Молдовы. Свежий курс доллара, евро, рубля, гривны, и лея от Banca de economii, Deghest, Banca Socială и др. Онлайн конвертер валют."
4,https://point.md/ru/novosti/,Новости Молдовы - Point.md,"Политика и общество, экономика, образование, происшествия, наука, спорт. Только актуальные новости и события.Курс валют, карта Молдовы, ТВ-программа."
5,https://point.md/ru/tv/,Программа Телепередач в Молдове Телепрограмма,"ТНТ Exclusiv TV. 07:00Соседи; 07:30""Acasa""; 08:30Exclusiv news; 09:00Т/с ""СашаТаня""; 10:00Т/с ""Патриот""; 12:30Teleshopping; 13:00""Acasa""; 14:00Т/с ""Жуки"" ..."
6,https://point.md/ro/tv/,Programul de emisiuni TV în Moldova - Point.md,"20:30Где логика? 21:30""Однажды в России""; 22:30Новости; 23:00""Comedy Woman""; 00:00Импровизация; 03:15Comedy Баттл; 04:00Открытый микрофон ..."
7,https://point.md/ro/curs/,Toate cursurile valutare din Republica Moldova. Curs euro și ...,"Curs valutar bănci din Republica Moldova - BNM, Deghest, Banca Socială etc. Curs valutar actualizat la zi pentru principalele valute (curs euro, curs dolar, ..."
8,https://point.md/ro/tv/you,Programul TV Ю Programul de emisiuni Ю pentru ... - Point.md,"""Ю"" - post de televiziune rusesc federal, care cuprinde emisiuni umoristice şi de divertisment, reality-show-uri, filme artistice şi de animaţie, seriale ..."
9,https://point.md/ro/tv/tv8,Programul TV TV8 Programul de emisiuni TV8 pentru ziua de azi ...,TV8. 05:00Новости DW; 05:20Cutia neagra; 07:00Stirile TV8; 08:00Вечер. Настоящее время; 08:45Dincolo de Nistru; 09:00Новости; 09:30Готовим с серфингистами ...
10,https://point.md/ru/tv/canal3,Телепрограмма Canal 3 Программа передач ... - Point.md,"Телеканал Canal 3: программа телепередач канала Canal 3 на сегодня и на завтра, программа ТВ передач канала Canal 3 на неделю."
11,https://point.md/ro/tv/tv1000,TV1000 - Point.md,"Canalul TV TV1000: programul de emisiuni al canalului TV1000 pentru o săptămână, programul TV de emisiuni al canalului TV1000 pentru astăzi și mâine."
12,https://point.md/ru/tv/national,Телепрограмма National TV Программа передач ... - Point.md,"Телеканал National TV: программа телепередач канала National TV на сегодня и на завтра, программа ТВ передач канала National TV на неделю."
13,https://point.md/ru/tv/n4,"Телепрограмма N4 Программа передач N4 на сегодня, на ...","Телеканал N4: программа телепередач канала N4 на сегодня и на завтра, программа ТВ передач канала N4 на неделю."
14,https://point.md/ru/tv/moyaplaneta,Телепрограмма Моя планета Программа ... - Point.md,"Телеканал Моя планета: программа телепередач канала Моя планета на сегодня и на завтра, программа ТВ передач канала Моя планета на неделю."
15,https://point.md/ro/tv/disney,Disney Channel - Point.md,"Canalul TV Disney Channel: programul de emisiuni al canalului Disney Channel pentru o săptămână, programul TV de emisiuni al canalului Disney Channel pentru ..."
16,https://point.md/ro/tv/ctc,СТС Mega - Point.md,"Canalul TV СТС Mega: programul de emisiuni al canalului СТС Mega pentru o săptămână, programul TV de emisiuni al canalului СТС Mega pentru astăzi și mâine."
17,https://point.md/ru/tv/tv3,Телепрограмма ТВ3 Программа передач ТВ3 на сегодня ...,"Телеканал ТВ3: программа телепередач канала ТВ3 на сегодня и на завтра, программа ТВ передач канала ТВ3 на неделю."
18,https://point.md/ru/catalog/Entertainment_and_recreation/,Развлечения и отдых - Point.md,"Каталог сайтов, посвященных развлечениям и отдыху в Молдове. Каталог включает сайты турфирм, продаж авиабилетов, гостиниц, баров, ресторанов, ..."
19,https://point.md/ro/tv/jurnaltv,Programul TV JurnalTV Programul de emisiuni ... - Point.md,"программа тв JurnalTV (на молд.) Jurnal TV este un post de televiziune informaţional, care îi propune telespectatorului o gamă largă de filme, seriale ..."
20,https://point.md/ru/tv/mir,Телепрограмма Мир Программа передач Мир на сегодня ...,"Телеканал Мир: программа телепередач канала Мир на сегодня и на завтра, программа ТВ передач канала Мир на неделю."
21,https://point.md/ru/tv/ictv,Телепрограмма ICTV Программа передач ICTV на сегодня ...,"Телеканал ICTV: программа телепередач канала ICTV на сегодня и на завтра, программа ТВ передач канала ICTV на неделю."
22,https://point.md/ru/tv/canal2,Телепрограмма Canal 2 Программа передач ... - Point.md,"Телеканал Canal 2: программа телепередач канала Canal 2 на сегодня и на завтра, программа ТВ передач канала Canal 2 на неделю."
23,https://point.md/ru/tv/k1,"Телепрограмма К 1 Программа передач К 1 на сегодня, на ...","К 1. 06:30""TOP SHOP"" (12+); 08:00М/с ""Кротик и Панда"" (6+); 08:40""Орел и Решка. Шопинг"" (12+); 10:30Х/ф ""Как выйти замуж за миллиардера"" (18+) ..."
24,https://point.md/ro/tv/prime,Programul TV Prime Programul de emisiuni Prime ... - Point.md,Prime. 05:00Telemagazin. Oferta zilei; 07:00Prima Ora; 09:00Doctorii (rom.) 10:00Vorbeste Moldova (rom.) 11:00100 de moldoveni au zis (rom.) ...
25,https://point.md/ru/tv/maxxi,Телепрограмма Maxxi-TV Программа передач ... - Point.md,"Телеканал Maxxi-TV: программа телепередач канала Maxxi-TV на сегодня и на завтра, программа ТВ передач канала Maxxi-TV на неделю."
26,https://point.md/ru/tv/fenixplus,Телепрограмма Феникс+Кино Программа ... - Point.md,"Телеканал Феникс+Кино: программа телепередач канала Феникс+Кино на сегодня и на завтра, программа ТВ передач канала Феникс+Кино на неделю."
27,https://point.md/ru/catalog/Education_science_and_work/,"Образование, наука и работа - Point.md","Каталог сайтов, посвященных образованию, науке и поиску работы в Молдове. Каталог включает сайты школ, лицеев, вузов, других образовательных услуг в ..."
28,https://point.md/ru/tv/karusel,Телепрограмма Карусель Программа передач ... - Point.md,"Телеканал Карусель: программа телепередач канала Карусель на сегодня и на завтра, программа ТВ передач канала Карусель на неделю."
29,https://point.md/ru/tv/protv,Телепрограмма Pro TV Программа передач Pro ... - Point.md,"Телеканал Pro TV: программа телепередач канала Pro TV на сегодня и на завтра, программа ТВ передач канала Pro TV на неделю."
30,https://point.md/ru/tv/hth,Телепрограмма НТН Программа передач НТН на сегодня ...,"Телеканал НТН: программа телепередач канала НТН на сегодня и на завтра, программа ТВ передач канала НТН на неделю."
